% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
0.327	1	1	87	62.3709	0
0.327	2	1	87	62.2741	1
0.329	1	8	71	62.3709	0
0.329	2	8	71	62.2741	1
0.331	1	2	50	62.3709	0
0.331	2	2	50	62.2741	1
0.332	1	15	12	62.3709	0
0.332	2	15	12	62.2741	1
0.334	1	6	91	62.3709	0
0.334	2	6	91	62.2741	1
0.338	1	4	78	62.3709	0
0.338	2	4	78	62.2741	1
0.34	1	5	20	62.3709	0
0.34	2	5	20	62.2741	1
0.341	1	11	58	62.3709	0
0.341	2	11	58	62.2741	1
0.349	1	7	29	62.3709	0
0.349	2	7	29	62.2741	1
0.359	1	9	39	62.3709	0
0.359	2	9	39	62.2741	1
0.36	1	10	63	62.3709	0
0.36	2	10	63	62.2741	1
0.361	1	14	1	62.3709	0
0.361	2	14	1	62.2741	1
0.362	1	12	82	62.3709	0
0.362	2	12	82	62.2741	1
0.363	1	13	94	62.3709	0
0.363	2	13	94	62.2741	1
0.365	1	3	96	62.3709	0
0.365	2	3	96	62.2741	1
0.367	1	1	87	62.3709	0
0.367	2	1	87	62.2741	1
0.369	1	8	71	62.3709	0
0.369	2	8	71	62.2741	1
0.371	1	2	50	62.3709	0
0.371	2	2	50	62.2741	1
0.372	1	15	12	62.3709	0
0.372	2	15	12	62.2741	1
0.374	1	6	91	62.3709	0
0.374	2	6	91	62.2741	1
0.378	1	4	78	62.3709	0
0.378	2	4	78	62.2741	1
0.38	1	5	20	62.3709	0
0.38	2	5	20	62.2741	1
0.381	1	11	58	62.3709	0
0.381	2	11	58	62.2741	1
0.389	1	7	29	62.3709	0
0.389	2	7	29	62.2741	1
0.399	1	9	39	62.3709	0
0.399	2	9	39	62.2741	1
0.4	1	10	63	62.3709	0
0.4	2	10	63	62.2741	1
0.401	1	14	1	62.3709	0
0.401	2	14	1	62.2741	1
0.402	1	12	82	62.3709	0
0.402	2	12	82	62.2741	1
0.403	1	13	94	62.3709	0
0.403	2	13	94	62.2741	1
0.405	1	3	96	62.3709	0
0.405	2	3	96	62.2741	1
0.407	1	1	87	62.3709	0
0.407	2	1	87	62.2741	1
0.409	1	8	71	62.3709	0
0.409	2	8	71	62.2741	1
0.411	1	2	50	62.3709	0
0.411	2	2	50	62.2741	1
0.412	1	15	12	62.3709	0
0.412	2	15	12	62.2741	1
0.414	1	6	91	62.3709	0
0.414	2	6	91	62.2741	1
0.418	1	4	78	62.3709	0
0.418	2	4	78	62.2741	1
0.42	1	5	20	62.3709	0
0.42	2	5	20	62.2741	1
0.421	1	11	58	62.3709	0
0.421	2	11	58	62.2741	1
0.429	1	7	29	62.3709	0
0.429	2	7	29	62.2741	1
0.439	1	9	39	62.3709	0
0.439	2	9	39	62.2741	1
0.44	1	10	63	62.3709	0
0.44	2	10	63	62.2741	1
0.441	1	14	1	62.3709	0
0.441	2	14	1	62.2741	1
0.442	1	12	82	62.3709	0
0.442	2	12	82	62.2741	1
0.443	1	13	94	62.3709	0
0.443	2	13	94	62.2741	1
0.445	1	3	96	62.3709	0
0.445	2	3	96	62.2741	1
0.447	1	1	87	62.3709	0
0.447	2	1	87	62.2741	1
0.449	1	8	71	62.3709	0
0.449	2	8	71	62.2741	1
0.451	1	2	50	62.3709	0
0.451	2	2	50	62.2741	1
0.452	1	15	12	62.3709	0
0.452	2	15	12	62.2741	1
0.454	1	6	91	62.3709	0
0.454	2	6	91	62.2741	1
0.458	1	4	78	62.3709	0
0.458	2	4	78	62.2741	1
0.46	1	5	20	62.3709	0
0.46	2	5	20	62.2741	1
0.461	1	11	58	62.3709	0
0.461	2	11	58	62.2741	1
0.469	1	7	29	62.3709	0
0.469	2	7	29	62.2741	1
0.479	1	9	39	62.3709	0
0.479	2	9	39	62.2741	1
0.48	1	10	63	62.3709	0
0.48	2	10	63	62.2741	1
0.481	1	14	1	62.3709	0
0.481	2	14	1	62.2741	1
0.482	1	12	82	62.3709	0
0.482	2	12	82	62.2741	1
0.483	1	13	94	62.3709	0
0.483	2	13	94	62.2741	1
0.485	1	3	96	62.3709	0
0.485	2	3	96	62.2741	1
0.487	1	1	87	62.3709	0
0.487	2	1	87	62.2741	1
0.489	1	8	71	62.3709	0
0.489	2	8	71	62.2741	1
0.491	1	2	50	62.3709	0
0.491	2	2	50	62.2741	1
0.492	1	15	12	62.3709	0
0.492	2	15	12	62.2741	1
0.494	1	6	91	62.3709	0
0.494	2	6	91	62.2741	1
0.498	1	4	78	62.3709	0
0.498	2	4	78	62.2741	1
0.5	1	5	20	62.3709	0
0.5	2	5	20	62.2741	1
0.501	1	11	58	62.3709	0
0.501	2	11	58	62.2741	1
0.509	1	7	29	62.3709	0
0.509	2	7	29	62.2741	1
0.519	1	9	39	62.3709	0
0.519	2	9	39	62.2741	1
0.52	1	10	63	62.3709	0
0.52	2	10	63	62.2741	1
0.521	1	14	1	62.3709	0
0.521	2	14	1	62.2741	1
0.522	1	12	82	62.3709	0
0.522	2	12	82	62.2741	1
0.523	1	13	94	62.3709	0
0.523	2	13	94	62.2741	1
0.525	1	3	96	62.3709	0
0.525	2	3	96	62.2741	1
0.527	1	1	87	62.3709	0
0.527	2	1	87	62.2741	1
0.529	1	8	71	62.3709	0
0.529	2	8	71	62.2741	1
0.531	1	2	50	62.3709	0
0.531	2	2	50	62.2741	1
0.532	1	15	12	62.3709	0
0.532	2	15	12	62.2741	1
0.534	1	6	91	62.3709	0
0.534	2	6	91	62.2741	1
0.538	1	4	78	62.3709	0
0.538	2	4	78	62.2741	1
0.54	1	5	20	62.3709	0
0.54	2	5	20	62.2741	1
0.541	1	11	58	62.3709	0
0.541	2	11	58	62.2741	1
0.549	1	7	29	62.3709	0
0.549	2	7	29	62.2741	1
0.559	1	9	39	62.3709	0
0.559	2	9	39	62.2741	1
0.56	1	10	63	62.3709	0
0.56	2	10	63	62.2741	1
0.561	1	14	1	62.3709	0
0.561	2	14	1	62.2741	1
0.562	1	12	82	62.3709	0
0.562	2	12	82	62.2741	1
0.563	1	13	94	62.3709	0
0.563	2	13	94	62.2741	1
0.565	1	3	96	62.3709	0
0.565	2	3	96	62.2741	1
0.567	1	1	87	62.3709	0
0.567	2	1	87	62.2741	1
0.569	1	8	71	62.3709	0
0.569	2	8	71	62.2741	1
0.571	1	2	50	62.3709	0
0.571	2	2	50	62.2741	1
0.572	1	15	12	62.3709	0
0.572	2	15	12	62.2741	1
0.574	1	6	91	62.3709	0
0.574	2	6	91	62.2741	1
0.578	1	4	78	62.3709	0
0.578	2	4	78	62.2741	1
0.58	1	5	20	62.3709	0
0.58	2	5	20	62.2741	1
0.581	1	11	58	62.3709	0
0.581	2	11	58	62.2741	1
0.589	1	7	29	62.3709	0
0.589	2	7	29	62.2741	1
0.599	1	9	39	62.3709	0
0.599	2	9	39	62.2741	1
0.6	1	10	63	62.3709	0
0.6	2	10	63	62.2741	1
0.601	1	14	1	62.3709	0
0.601	2	14	1	62.2741	1
0.602	1	12	82	62.3709	0
0.602	2	12	82	62.2741	1
0.603	1	13	94	62.3709	0
0.603	2	13	94	62.2741	1
0.605	1	3	96	62.3709	0
0.605	2	3	96	62.2741	1
0.607	1	1	87	62.3709	0
0.607	2	1	87	62.2741	1
0.609	1	8	71	62.3709	0
0.609	2	8	71	62.2741	1
0.611	1	2	50	62.3709	0
0.611	2	2	50	62.2741	1
0.612	1	15	12	62.3709	0
0.612	2	15	12	62.2741	1
0.614	1	6	91	62.3709	0
0.614	2	6	91	62.2741	1
0.618	1	4	78	62.3709	0
0.618	2	4	78	62.2741	1
0.62	1	5	20	62.3709	0
0.62	2	5	20	62.2741	1
0.621	1	11	58	62.3709	0
0.621	2	11	58	62.2741	1
0.629	1	7	29	62.3709	0
0.629	2	7	29	62.2741	1
0.639	1	9	39	62.3709	0
0.639	2	9	39	62.2741	1
0.64	1	10	63	62.3709	0
0.64	2	10	63	62.2741	1
0.641	1	14	1	62.3709	0
0.641	2	14	1	62.2741	1
0.642	1	12	82	62.3709	0
0.642	2	12	82	62.2741	1
0.643	1	13	94	62.3709	0
0.643	2	13	94	62.2741	1
0.645	1	3	96	62.3709	0
0.645	2	3	96	62.2741	1
0.647	1	1	87	62.3709	0
0.647	2	1	87	62.2741	1
0.649	1	8	71	62.3709	0
0.649	2	8	71	62.2741	1
0.651	1	2	50	62.3709	0
0.651	2	2	50	62.2741	1
0.652	1	15	12	62.3709	0
0.652	2	15	12	62.2741	1
0.654	1	6	91	62.3709	0
0.654	2	6	91	62.2741	1
0.658	1	4	78	62.3709	0
0.658	2	4	78	62.2741	1
0.66	1	5	20	62.3709	0
0.66	2	5	20	62.2741	1
0.661	1	11	58	62.3709	0
0.661	2	11	58	62.2741	1
0.669	1	7	29	62.3709	0
0.669	2	7	29	62.2741	1
0.679	1	9	39	62.3709	0
0.679	2	9	39	62.2741	1
0.68	1	10	63	62.3709	0
0.68	2	10	63	62.2741	1
0.681	1	14	1	62.3709	0
0.681	2	14	1	62.2741	1
0.682	1	12	82	62.3709	0
0.682	2	12	82	62.2741	1
0.683	1	13	94	62.3709	0
0.683	2	13	94	62.2741	1
0.685	1	3	96	62.3709	0
0.685	2	3	96	62.2741	1
0.687	1	1	87	62.3709	0
0.687	2	1	87	62.2741	1
0.689	1	8	71	62.3709	0
0.689	2	8	71	62.2741	1
0.691	1	2	50	62.3709	0
0.691	2	2	50	62.2741	1
0.692	1	15	12	62.3709	0
0.692	2	15	12	62.2741	1
0.694	1	6	91	62.3709	0
0.694	2	6	91	62.2741	1
0.698	1	4	78	62.3709	0
0.698	2	4	78	62.2741	1
0.7	1	5	20	62.3709	0
0.7	2	5	20	62.2741	1
0.701	1	11	58	62.3709	0
0.701	2	11	58	62.2741	1
0.709	1	7	29	62.3709	0
0.709	2	7	29	62.2741	1
0.719	1	9	39	62.3709	0
0.719	2	9	39	62.2741	1
0.72	1	10	63	62.3709	0
0.72	2	10	63	62.2741	1
0.721	1	14	1	62.3709	0
0.721	2	14	1	62.2741	1
0.722	1	12	82	62.3709	0
0.722	2	12	82	62.2741	1
0.723	1	13	94	62.3709	0
0.723	2	13	94	62.2741	1
0.725	1	3	96	62.3709	0
0.725	2	3	96	62.2741	1
0.727	1	1	87	62.3709	0
0.727	2	1	87	62.2741	1
0.729	1	8	71	62.3709	0
0.729	2	8	71	62.2741	1
0.731	1	2	50	62.3709	0
0.731	2	2	50	62.2741	1
0.732	1	15	12	62.3709	0
0.732	2	15	12	62.2741	1
0.734	1	6	91	62.3709	0
0.734	2	6	91	62.2741	1
0.738	1	4	78	62.3709	0
0.738	2	4	78	62.2741	1
0.74	1	5	20	62.3709	0
0.74	2	5	20	62.2741	1
0.741	1	11	58	62.3709	0
0.741	2	11	58	62.2741	1
0.749	1	7	29	62.3709	0
0.749	2	7	29	62.2741	1
0.759	1	9	39	62.3709	0
0.759	2	9	39	62.2741	1
0.76	1	10	63	62.3709	0
0.76	2	10	63	62.2741	1
0.761	1	14	1	62.3709	0
0.761	2	14	1	62.2741	1
0.762	1	12	82	62.3709	0
0.762	2	12	82	62.2741	1
0.763	1	13	94	62.3709	0
0.763	2	13	94	62.2741	1
0.765	1	3	96	62.3709	0
0.765	2	3	96	62.2741	1
0.767	1	1	87	62.3709	0
0.767	2	1	87	62.2741	1
0.769	1	8	71	62.3709	0
0.769	2	8	71	62.2741	1
0.771	1	2	50	62.3709	0
0.771	2	2	50	62.2741	1
0.772	1	15	12	62.3709	0
0.772	2	15	12	62.2741	1
0.774	1	6	91	62.3709	0
0.774	2	6	91	62.2741	1
0.778	1	4	78	62.3709	0
0.778	2	4	78	62.2741	1
0.78	1	5	20	62.3709	0
0.78	2	5	20	62.2741	1
0.781	1	11	58	62.3709	0
0.781	2	11	58	62.2741	1
0.789	1	7	29	62.3709	0
0.789	2	7	29	62.2741	1
0.799	1	9	39	62.3709	0
0.799	2	9	39	62.2741	1
0.8	1	10	63	62.3709	0
0.8	2	10	63	62.2741	1
0.801	1	14	1	62.3709	0
0.801	2	14	1	62.2741	1
0.802	1	12	82	62.3709	0
0.802	2	12	82	62.2741	1
0.803	1	13	94	62.3709	0
0.803	2	13	94	62.2741	1
0.805	1	3	96	62.3709	0
0.805	2	3	96	62.2741	1
0.807	1	1	87	62.3709	0
0.807	2	1	87	62.2741	1
0.809	1	8	71	62.3709	0
0.809	2	8	71	62.2741	1
0.811	1	2	50	62.3709	0
0.811	2	2	50	62.2741	1
0.812	1	15	12	62.3709	0
0.812	2	15	12	62.2741	1
0.814	1	6	91	62.3709	0
0.814	2	6	91	62.2741	1
0.818	1	4	78	62.3709	0
0.818	2	4	78	62.2741	1
0.82	1	5	20	62.3709	0
0.82	2	5	20	62.2741	1
0.821	1	11	58	62.3709	0
0.821	2	11	58	62.2741	1
0.829	1	7	29	62.3709	0
0.829	2	7	29	62.2741	1
0.839	1	9	39	62.3709	0
0.839	2	9	39	62.2741	1
0.84	1	10	63	62.3709	0
0.84	2	10	63	62.2741	1
0.841	1	14	1	62.3709	0
0.841	2	14	1	62.2741	1
0.842	1	12	82	62.3709	0
0.842	2	12	82	62.2741	1
0.843	1	13	94	62.3709	0
0.843	2	13	94	62.2741	1
0.845	1	3	96	62.3709	0
0.845	2	3	96	62.2741	1
0.847	1	1	87	62.3709	0
0.847	2	1	87	62.2741	1
0.849	1	8	71	62.3709	0
0.849	2	8	71	62.2741	1
0.851	1	2	50	62.3709	0
0.851	2	2	50	62.2741	1
0.852	1	15	12	62.3709	0
0.852	2	15	12	62.2741	1
0.854	1	6	91	62.3709	0
0.854	2	6	91	62.2741	1
0.858	1	4	78	62.3709	0
0.858	2	4	78	62.2741	1
0.86	1	5	20	62.3709	0
0.86	2	5	20	62.2741	1
0.861	1	11	58	62.3709	0
0.861	2	11	58	62.2741	1
0.869	1	7	29	62.3709	0
0.869	2	7	29	62.2741	1
0.879	1	9	39	62.3709	0
0.879	2	9	39	62.2741	1
0.88	1	10	63	62.3709	0
0.88	2	10	63	62.2741	1
0.881	1	14	1	62.3709	0
0.881	2	14	1	62.2741	1
0.882	1	12	82	62.3709	0
0.882	2	12	82	62.2741	1
0.883	1	13	94	62.3709	0
0.883	2	13	94	62.2741	1
0.885	1	3	96	62.3709	0
0.885	2	3	96	62.2741	1
0.887	1	1	87	62.3709	0
0.887	2	1	87	62.2741	1
0.889	1	8	71	62.3709	0
0.889	2	8	71	62.2741	1
0.891	1	2	50	62.3709	0
0.891	2	2	50	62.2741	1
0.892	1	15	12	62.3709	0
0.892	2	15	12	62.2741	1
0.894	1	6	91	62.3709	0
0.894	2	6	91	62.2741	1
0.898	1	4	78	62.3709	0
0.898	2	4	78	62.2741	1
